hora,v1,v2,v3,v4
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:26,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:27,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:28,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:29,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:30,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:31,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:32,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:33,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:34,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:35,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:36,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:37,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:38,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:39,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,0.5,0.5,0.5,0.5
21:6:2021/18:0:40,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:40,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:40,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:40,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:40,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:40,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:41,-1.0333333E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.0333333E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.0333333E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.0333333E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.0333333E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.0333333E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:41,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:41,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:41,-1.9E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.9E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-1.9E-6,0.5,0.5,0.5
21:6:2021/18:0:41,-3.851111E-5,0.5,0.5,0.5
21:6:2021/18:0:41,-3.851111E-5,0.5,0.5,0.5
21:6:2021/18:0:41,-3.851111E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-7.164445E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-7.164445E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-7.164445E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-6.7288885E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-6.7288885E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-6.7288885E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-4.8100002E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-4.8100002E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-4.8100002E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-2.8055556E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-2.8055556E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-2.8055556E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-1.0622221E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-1.0622221E-5,0.5,0.5,0.5
21:6:2021/18:0:42,-1.0622221E-5,0.5,0.5,0.5
21:6:2021/18:0:42,2.4444444E-6,0.5,0.5,0.5
21:6:2021/18:0:42,2.4444444E-6,0.5,0.5,0.5
21:6:2021/18:0:42,2.4444444E-6,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,7.0E-7,0.5,0.5,0.5
21:6:2021/18:0:43,7.0E-7,0.5,0.5,0.5
21:6:2021/18:0:43,7.0E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,7.0E-7,0.5,0.5,0.5
21:6:2021/18:0:43,7.0E-7,0.5,0.5,0.5
21:6:2021/18:0:43,7.0E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
21:6:2021/18:0:43,-1.5555557E-7,0.5,0.5,0.5
